feature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
kurtosis_12,0.33887302882001086,0.9379116499559509,0.9528889728096677,0.9671136805193574,0.9635094251803584,0.955642282613869,0.9597706641184902,0.947865254683981,0.9591976054193142,0.9739996525566044,0.9637550413924857,0.9638047138047138,0.9657722374815128,0.960278817077546,0.9474774731364141,0.9532300357568534,0.9717533930986127,0.9634848484848485,0.9539411442513569,0.9587088977289894,0.9414194704359944,0.8951348728110972,0.958495571434684,0.9820998941391589,0.9763030790903602
leverage,0.07847335508428493,0.7842849351847967,0.9657288519637462,0.9761645263706582,0.9704910402606469,0.9634477178620723,0.9649784997611085,0.9608510230485409,0.9726933781442,0.978863860096126,0.970123116111229,0.9675925925925926,0.9648742869216141,0.9637127774076162,0.9571628198332771,0.9620500595947556,0.9728552110983122,0.9643939393939394,0.9623064283224618,0.9631904929754771,0.9577443758709935,0.9289440692360578,0.9626460142912157,0.9807044557790395,0.9741396659287583
max_drawdown_12,0.5037384448069603,0.9567898644963712,0.968041918429003,0.9773965786854949,0.972678612985804,0.9671124648993384,0.9720974677496417,0.9604676793329819,0.970645381505015,0.9813538710985003,0.9741031628104436,0.97427398989899,0.9757553348827382,0.9698631541181897,0.9620295860839396,0.9657687723480334,0.9807181850052586,0.9740909090909091,0.9655429965642583,0.9697869983382849,0.9547083416285088,0.9209770696000323,0.9733858200333747,0.9871042248099317,0.9825920708392031
mom_12_1,0.05848966829798804,0.8899609850232831,0.9231495468277946,0.9445102592048524,0.943542006050733,0.9339869592118414,0.9365504061156235,0.9244333700704394,0.9342540566087276,0.9597544733337193,0.9435894714497983,0.9432344276094277,0.9477604056623706,0.9415714212495515,0.9200597503975328,0.9276758045292014,0.9537737266489708,0.9428787878787879,0.9346711148732759,0.9355455964550078,0.9173302807087398,0.8511748291341449,0.9235377176843096,0.9721393513617553,0.964831958140471
mom_3_1,0.7844276780859163,0.9830515585014893,0.9879626132930514,0.9910913140311804,0.988596695368862,0.9867212412545809,0.988628762541806,0.9830849585509608,0.9882371475082707,0.9920667091319706,0.9898110804500106,0.9902672558922558,0.989752799492922,0.9867766900722669,0.9844359851587722,0.9865554231227652,0.9915861170932038,0.9893434343434343,0.9858586864512274,0.986958054282693,0.9788473024089189,0.9665547781777005,0.9911856574387061,0.9947069579443749,0.9927550815053331
mom_6_1,0.5037384448069603,0.9567898644963712,0.968041918429003,0.9773965786854949,0.972678612985804,0.9671124648993384,0.9720974677496417,0.9604676793329819,0.970645381505015,0.9813538710985003,0.9741031628104436,0.97427398989899,0.9757553348827382,0.9698631541181897,0.9620295860839396,0.9657687723480334,0.9807181850052586,0.9740909090909091,0.9655429965642583,0.9697869983382849,0.9547083416285088,0.9209770696000323,0.9733858200333747,0.9871042248099317,0.9825920708392031
operating_leverage,0.07911908646003263,0.7867600788689852,0.9687972054380665,0.9782969246078757,0.972306260181522,0.9668744943125029,0.9675585284280936,0.9632948392352293,0.9732710182219189,0.9808327060049801,0.9749522394396094,0.9728535353535354,0.9695225015846186,0.9667879657629029,0.9603912687322315,0.9659594755661501,0.9752090950067611,0.9667171717171718,0.9657421699945228,0.9660103731305705,0.9598347601035238,0.9273668459578598,0.9645286894013949,0.9826773169088634,0.9762527671563694
positive_months_ratio,0.5037384448069603,0.9567898644963712,0.968041918429003,0.9773965786854949,0.972678612985804,0.9671124648993384,0.9720974677496417,0.9604676793329819,0.970645381505015,0.9813538710985003,0.9741031628104436,0.97427398989899,0.9757553348827382,0.9698631541181897,0.9620295860839396,0.9657687723480334,0.9807181850052586,0.9740909090909091,0.9655429965642583,0.9697869983382849,0.9547083416285088,0.9209770696000323,0.9733858200333747,0.9871042248099317,0.9825920708392031
realized_vol_12,0.05848966829798804,0.8899609850232831,0.9231495468277946,0.9445102592048524,0.943542006050733,0.9339869592118414,0.9365504061156235,0.9244333700704394,0.9342540566087276,0.9597544733337193,0.9435894714497983,0.9432344276094277,0.9477604056623706,0.9415714212495515,0.9200597503975328,0.9276758045292014,0.9537737266489708,0.9428787878787879,0.9346711148732759,0.9355455964550078,0.9173302807087398,0.8511748291341449,0.9235377176843096,0.9721393513617553,0.964831958140471
realized_vol_3,0.7844276780859163,0.9830515585014893,0.9879626132930514,0.9910913140311804,0.988596695368862,0.9867212412545809,0.988628762541806,0.9830849585509608,0.9882371475082707,0.9920667091319706,0.9898110804500106,0.9902672558922558,0.989752799492922,0.9867766900722669,0.9844359851587722,0.9865554231227652,0.9915861170932038,0.9893434343434343,0.9858586864512274,0.986958054282693,0.9788473024089189,0.9665547781777005,0.9911856574387061,0.9947069579443749,0.9927550815053331
roa,0.07911908646003263,0.7867600788689852,0.9687972054380665,0.9782969246078757,0.972306260181522,0.9668744943125029,0.9675585284280936,0.9632948392352293,0.9732710182219189,0.9808327060049801,0.9749522394396094,0.9728535353535354,0.9695225015846186,0.9667879657629029,0.9603912687322315,0.9659594755661501,0.9752090950067611,0.9667171717171718,0.9657421699945228,0.9660103731305705,0.9598347601035238,0.9273668459578598,0.9645286894013949,0.9826773169088634,0.9762527671563694
roe,0.07911908646003263,0.7867600788689852,0.9687972054380665,0.9779652182154196,0.972306260181522,0.9673028413688068,0.9676540850453894,0.9632948392352293,0.9732710182219189,0.9808327060049801,0.9749522394396094,0.9728535353535354,0.9690471159940841,0.9666342063451386,0.9599094106876114,0.9653873659117997,0.9746081033705615,0.9661111111111111,0.9646965094856346,0.965859308122262,0.9598347601035238,0.927285962712824,0.9640152325531641,0.9820998941391589,0.9756490239484806
sales_growth_1y,0.00010195758564437195,0.08805638293409405,0.760762839879154,0.9499597213666303,0.9481033279031883,0.9294179239446004,0.9260869565217391,0.9213666203459677,0.935881951373208,0.955585152585558,0.9507535555083846,0.9398674242424242,0.9371962814282696,0.9327558812977295,0.9128318797282321,0.9076996424314661,0.9342414984724796,0.9304545454545454,0.9203306278942389,0.9174681504607483,0.9002090384232531,0.84146883972985,0.8736896153352446,0.9385525935906073,0.9447071845441739
sales_to_price,0.07911908646003263,0.7867600788689852,0.9687972054380665,0.9782969246078757,0.972306260181522,0.9673028413688068,0.9676540850453894,0.9632948392352293,0.9732710182219189,0.9808327060049801,0.9749522394396094,0.9728535353535354,0.9695225015846186,0.9667879657629029,0.9603912687322315,0.9659594755661501,0.9752090950067611,0.9667171717171718,0.9657421699945228,0.9660103731305705,0.9598347601035238,0.9273668459578598,0.9645286894013949,0.9826773169088634,0.9762527671563694
